Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City
Casagrand Cherry Pick,3 BHK Flat for sale in Perumbakkam Chennai,85,Arasankazhani PerumbakkamChennai,1559,5450,3,1,3 BHK,Chennai
MP Montana,2 BHK Flat for sale in Thiruneermalai Chennai,50,Manikandan Nagar ThiruneermalaiChennai,853,5860,3,0,2 BHK,Chennai
SSM Nagar,3 BHK Flat for sale in Perungalathur Chennai,52,Perungalathur Chennai,1317,3950,3,0,3 BHK,Chennai
Alliance Galleria Residences,1 BHK Flat for sale in Old Pallavaram Chennai,52,Arulmurugan Nagar Old PallavaramChennai,618,8410,2,0,1 BHK,Chennai
Golden Luxury Villas by Golden Homes,3 BHK Villa for sale in Ekkatuthangal Chennai,290,Ekkatuthangal Chennai,1200,24170,3,0,3 BHK,Chennai
Aurum Villas,3 BHK Villa for sale in Padur Chennai,165,Padur Chennai,2150,7670,4,1,3 BHK,Chennai
Mahindra Nova,2 BHK Flat for sale in Chettipunyam Chennai,29,Chettipunyam Chennai,604,4800,2,1,2 BHK,Chennai
Chettipunyam Chennai,2 BHK Flat for sale in Chettipunyam Chennai,38,Chettipunyam Chennai,836,4540,3,0,2 BHK,Chennai
Kochar Neetu Arjun Garden,1 BHK Flat for sale in Gerugambakkam Chennai,72,Bharathi Nagar GerugambakkamChennai,1009,7130,3,1,1 BHK,Chennai
CasaGrand Primera,1 RK Flat for sale in Manapakkam Chennai,47,Periya Palayatamman Nagar ManapakkamChennai,425,11060,2,1,1 RK,Chennai
MP Silver Bells,2 BHK Flat for sale in Kundrathur Chennai,45,Kundrathur Chennai,711,6330,2,0,2 BHK,Chennai
Casagrand Arena,3 BHK Villa for sale in Oragadam Ambattur Chennai,125,Oragadam Ambattur Chennai,1545,8090,3,1,3 BHK,Chennai
Silversky Lakeside3,3 BHK Flat for sale in Puzhal Chennai,88,New Central Jail PuzhalChennai,1551,5700,3,0,3 BHK,Chennai
Casagrand Arena,3 BHK Villa for sale in Oragadam Ambattur Chennai,80,Oragadam Ambattur Chennai,1352,5920,3,0,3 BHK,Chennai
MP Silver Bells,2 BHK Flat for sale in Kundrathur Chennai,45,Kundrathur Chennai,711,6330,2,1,2 BHK,Chennai
MP Silver Bells,2 BHK Flat for sale in Kundrathur Chennai,45,Kundrathur Chennai,711,6330,2,0,2 BHK,Chennai
Sai Navarathinam,2 BHK Flat for sale in Korattur Chennai,72,Korattur Tank KoratturChennai,961,7490,3,0,2 BHK,Chennai
Jubliee Residences,1 BHK Flat for sale in Moolakazhani Chennai,24,Moolakazhani Chennai,482,4980,2,1,1 BHK,Chennai
CasaGrand Savoye,2 BHK Flat for sale in Karapakkam Chennai,72,Karapakkam Chennai,1037,6940,3,0,2 BHK,Chennai
Pacifica Aurum Villas by Pacifica Companies,4 BHK Flat for sale in Padur Chennai,150,Padur Chennai,2200,6820,4,1,4 BHK,Chennai
Karuppaswamy Tulsi Apartment,2 BHK Flat for sale in Porur Chennai,55,Buddhar Colony PorurChennai,1080,5090,3,1,2 BHK,Chennai
Altis Ashraya,2 BHK Flat for sale in Mangadu Chennai,63,MGR Nagar MangaduChennai,970,6490,3,0,2 BHK,Chennai
KG Signature City,1 BHK Flat for sale in Mogappair Chennai,42,Panneer Nagar MogappairChennai,620,6770,2,0,1 BHK,Chennai
KG Earth Homes,1 BHK Flat for sale in Siruseri Chennai,19,Siruseri Chennai,570,3420,2,1,1 BHK,Chennai
MP Urban,2 BHK Flat for sale in Anakaputhur Chennai,55,Pasumpon Nagar AnakaputhurChennai,940,5850,3,1,2 BHK,Chennai
Casagrand Arena,3 BHK Villa for sale in Oragadam Sriperambattur Chennai,99,Oragadam Sriperambattur Chennai,1497,6610,3,0,3 BHK,Chennai
